"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30048","Auto Suggested Dropdown CaseStudy","chromium","Tue May 20 16:48:22 IST 2025","broken","Tue May 20 16:48:52 IST 2025","","Dropdown\caseStudy2D.spec.js","",""
"","9445","Auto Suggested Dropdown","webkit","Tue May 20 16:56:03 IST 2025","passed","Tue May 20 16:56:13 IST 2025","","Dropdown\AutoSuggestedDropdown.spec.js","",""
"","17355","Dropdown Test","chromium","Tue May 20 16:48:32 IST 2025","passed","Tue May 20 16:48:49 IST 2025","","Dropdown\caseStudy1D.spec.js","",""
"","21657","Hidden Dropdown Test","chromium","Tue May 20 16:48:38 IST 2025","passed","Tue May 20 16:49:00 IST 2025","","Dropdown\HiddenDropdown.spec.js","",""
"","10792","JS Prompt","firefox","Tue May 20 16:50:36 IST 2025","failed","Tue May 20 16:50:47 IST 2025","Javascript Alerts","Alerts\alerts.spec.js","",""
"","9004","Checking URL15","chromium","Tue May 20 16:49:48 IST 2025","failed","Tue May 20 16:49:57 IST 2025","","test-practices\URLTesting.spec.js","",""
"","9517","Radio Buttons","webkit","Tue May 20 16:56:38 IST 2025","passed","Tue May 20 16:56:48 IST 2025","","RadioButtons\radioButtons.spec.js","",""
"","4199","Validate the Alert by Password","webkit","Tue May 20 16:55:47 IST 2025","passed","Tue May 20 16:55:51 IST 2025","Validating the Alerts","Alerts\caseStudy2.spec.js","",""
"","9275","Checking URL7","firefox","Tue May 20 16:54:22 IST 2025","failed","Tue May 20 16:54:31 IST 2025","","test-practices\URLTesting.spec.js","",""
"","2849","Full Page Screenshot","chromium","Tue May 20 16:49:12 IST 2025","passed","Tue May 20 16:49:15 IST 2025","","Screenshot\screenshot.spec.js","",""
"","1073","Nested IFrames testing","webkit","Tue May 20 16:56:17 IST 2025","passed","Tue May 20 16:56:18 IST 2025","","IFrames\caseStudy1F.spec.js","",""
"","30368","Checking URL5","webkit","Tue May 20 16:57:38 IST 2025","broken","Tue May 20 16:58:08 IST 2025","","test-practices\URLTesting.spec.js","",""
"","35244","Assertions test","firefox","Tue May 20 16:51:45 IST 2025","broken","Tue May 20 16:52:20 IST 2025","","Locators\assertions.spec.js","",""
"","31492","Checking the Browser URL","webkit","Tue May 20 16:56:31 IST 2025","broken","Tue May 20 16:57:03 IST 2025","","Login.spec.js","",""
